,head,head_replaced,head_translated
21150,PersonX gives ___ a treat,someone gives something a treat,某人款待某物
21151,PersonX gives ___ a gift,someone gives something a gift,某人送某物礼物
21152,PersonX applies sunscreen,someone applies sunscreen,有人涂了防晒霜
21153,PersonX is allergic to bees,someone is allergic to bees,有人对蜜蜂过敏
21154,PersonX finds the phone,someone finds the phone,有人找到了电话
21155,PersonX tells PersonY thing,someone tells someone else thing,有人告诉别人
21156,PersonX eats lunch,someone eats lunch,有人吃午饭
21157,PersonX climbs PersonY,someone climbs someone else,有人爬别人
21158,PersonX binds PersonX's ___ together,someone binds his something together,有人把他的东西绑在一起
21159,PersonX orders a burger,someone orders a burger,有人点了汉堡
21160,PersonX takes PersonX's outside,someone takes his outside,有人把他带到外面
21161,PersonX gets it for PersonY,someone gets it for someone else,有人替别人得到
21162,PersonX starts a fight,someone starts a fight,有人打架
21163,PersonX falls from grace,someone falls from grace,有人失宠了
21164,PersonX mails a package,someone mails a package,有人寄包裹
21165,PersonX produces ___ for the market,someone produces something for the market,某人为市场生产某物
21166,PersonX makes PersonY's smile,someone makes someone else's smile,有人让别人微笑
21167,PersonX keeps ___ up all night,someone keeps something up all night,有人整夜不睡
21168,PersonX moves quickly,someone moves quickly,有人动作很快
21169,PersonX finds a new book,someone finds a new book,有人发现一本新书
21170,PersonX says one thing,someone says one thing,有人说一件事
21171,PersonX shows ___ the way,someone shows something the way,有人给我们指明了方向
21172,PersonX talks a lot,someone talks a lot,有人话很多
21173,PersonX wins three games,someone wins three games,有人赢了三场
21174,PersonX leads PersonX's team,someone leads his team,有人带领他的队伍
21175,PersonX manages PersonY's ___ in PersonY's way,someone manages someone else's something in someone else's way,有人用别人的方式管理别人的东西
21176,PersonX serves ball well,someone serves ball well,有人发球很好
21177,PersonX stands in PersonY's way,someone stands in someone else's way,有人挡了别人的路
21178,PersonX eventually healed,someone eventually healed,有人最终痊愈了
21179,PersonX makes a lot of noise,someone makes a lot of noise,有人制造了很多噪音
21180,PersonX waits in line ___,someone waits in line something,有人排队等着什么
21181,PersonX pays ___ to what was saying,someone pays something to what was saying,有人为所说的付出了代价
21182,PersonX makes an excuse,someone makes an excuse,有人找借口
21183,PersonX spots something,someone spots something,有人发现了什么
21184,PersonX calms PersonY,someone calms someone else,有人让别人平静下来
21185,PersonX follows PersonY around,someone follows someone else around,有人跟踪别人
21186,PersonX has back pain,someone has back pain,有人背痛
21187,PersonX never really liked,someone never really liked,从来没有人喜欢过
21188,PersonX sings and dance,someone sings and dance,有人唱歌跳舞
21189,PersonX makes perfect sense,someone makes perfect sense,有人说得很有道理
21190,PersonX borrows ___ to pay,someone borrows something to pay,有人借了一些钱
21191,PersonX feels full,someone feels full,有人觉得很饱
21192,PersonX starts reading,someone starts reading,有人开始读
21193,PersonX saves money on bread,someone saves money on bread,有人在面包上省钱
21194,PersonX gets a great deal,someone gets a great deal,有人得到了很多
21195,PersonX has to pay a fine,someone has to pay a fine,得有人交罚款
21196,PersonX watches PersonY closely,someone watches someone else closely,有人密切注视着别人
21197,PersonX recently visited ___,someone recently visited something,最近有人参观了
21198,PersonX wants to eat it,someone wants to eat it,有人想吃它
21199,PersonX affects ___ adversely,someone affects something adversely,某人对某事产生不利影响
21200,PersonX becomes furious,someone becomes furious,有人大发雷霆
21201,PersonX has a good day,someone has a good day,有人今天过得不错
21202,PersonX focuses PersonX's efforts,someone focuses his efforts,有人把精力集中在
21203,PersonX decides to take a walk,someone decides to take a walk,有人决定出去走走
21204,PersonX fills with water,someone fills with water,有人灌满了水
21205,PersonX performs PersonY's work,someone performs someone else's work,有人做别人的工作
21206,PersonX speaks the ___ well,someone speaks something well,有人说得很好
21207,PersonX has an allergic reaction,someone has an allergic reaction,有人有过敏反应
21208,PersonX bears PersonY away,someone bears someone else away,有人把别人带走
21209,PersonX likes it much,someone likes it much,有人很喜欢
21210,PersonX continues PersonY's search,someone continues someone else's search,有人继续寻找
21211,PersonX drives ___ from the bar,someone drives something from the bar,有人在酒吧里开车
21212,PersonX places popcorn in the microwave,someone places popcorn in the microwave,有人把爆米花放进微波炉
21213,PersonX needs to buy a new car,someone needs to buy a new car,有人需要买辆新车
21214,PersonX gives PersonY a way,someone gives someone else a way,有人给了别人一条路
21215,PersonX expresses PersonX's ___ freely,someone expresses his something freely,某人自由地表达他的某事
21216,PersonX is really looking forward to it,someone is really looking forward to it,有人很期待
21217,PersonX goes hiking,someone goes hiking,有人去远足
21218,PersonX is driving PersonY's car on the highway,someone is driving someone else's car on the highway,有人在高速公路上开着别人的车
21219,PersonX takes care of people,someone takes care of people,有人照顾别人
21220,PersonX searches the entire house,someone searches the entire house,有人搜查了整栋房子
21221,PersonX takes ___ to protect,someone takes something to protect,有人拿东西来保护
21222,PersonX walks my dog,someone walks my dog,有人帮我遛狗
21223,PersonX comes ___ to find,someone comes something to find,有人来找东西
21224,PersonX runs PersonY's hand,someone runs someone else's hand,有人操纵别人的手
21225,PersonX visits PersonX's grandma,someone visits his grandma,有人去看他奶奶
21226,PersonX lays hands on PersonY,someone lays hands on someone else,有人对别人下手
21227,PersonX goes wild,someone goes wild,有人疯了
21228,PersonX walks along the beach,someone walks along the beach,有人沿着海滩散步
21229,PersonX pays the bills,someone pays the bills,有人付账单
21230,PersonX opens all of PersonX's presents,someone opens all of his presents,有人打开了他所有的礼物
21231,PersonX throws a punch,someone throws a punch,有人出拳
21232,PersonX fits every ___,someone fits every something,有人适合所有的东西
21233,PersonX keeps PersonX's hair on,someone keeps his hair on,有人留着他的头发
21234,PersonX splashes ___ on PersonY's face,someone splashes something on someone else's face,有人往别人脸上泼东西
21235,PersonX finds ___ in the garbage,someone finds something in the garbage,有人在垃圾堆里发现了什么
21236,PersonX gives PersonY assistance,someone gives someone else assistance,有人帮助别人
21237,PersonX plays a new game,someone plays a new game,有人在玩新游戏
21238,PersonX puts ___ on PersonY's desk,someone puts something on someone else's desk,有人把东西放在别人的桌子上
21239,PersonX enters a competition,someone enters a competition,有人参加比赛
21240,PersonX looks ___ in the eye,someone looks something in the eye,有人看着他的眼睛
21241,PersonX decides to buy it,someone decides to buy it,有人决定买下它
21242,PersonX takes time off from work,someone takes time off from work,有人请假
21243,PersonX slowly opened PersonY's eyes,someone slowly opened someone else's eyes,有人慢慢地睁开了别人的眼睛
21244,PersonX repairs the damage,someone repairs the damage,有人在修理
21245,PersonX is working fine,someone is working fine,有人工作得很好
21246,PersonX arrives ___ from work,someone arrives something from work,某人下班后到达某物
21247,PersonX reaches ___ in safety,someone reaches something in safety,某人安全到达某物
21248,PersonX seats beside PersonY,someone seats beside someone else,某人坐在别人旁边
21249,PersonX takes PersonY's photo,someone takes someone else's photo,有人拍了别人的照片
21250,PersonX joins ___ for the protection,someone joins something for the protection,有人加入了某种保护
21251,PersonX goes home soon,someone goes home soon,很快就会有人回家
21252,PersonX takes PersonY's seats,someone takes someone else's seats,有人占了别人的位子
21253,PersonX asks PersonY what the problem was,someone asks someone else what the problem was,有人问别人问题出在哪里
21254,PersonX has a party at PersonY's house,someone has a party at someone else's house,有人在别人家开派对
21255,PersonX creates ___ in PersonY's image,someone creates something in someone else's image,有人创造了别人的形象
21256,PersonX surrounds PersonY,someone surrounds someone else,有人围着别人
21257,PersonX prevents ___ from getting,someone prevents something from getting,有人阻止某事
21258,PersonX breaks the deadlock,someone breaks the deadlock,有人打破了僵局
21259,PersonX hems and haw,someone hems and haw,有人弯弯曲曲
21260,PersonX grins like a cheshire cat,someone grins like a cheshire cat,有人笑得像只柴郡猫
21261,PersonX wants to play outside,someone wants to play outside,有人想在外面玩
21262,PersonX develops students ' ___,someone develops students ' something,有人开发学生的东西
21263,PersonX is late for work,someone is late for work,有人上班迟到了
21264,PersonX sees in PersonY life,someone sees in someone else life,有人看到别人的生活
21265,PersonX goes to the animal shelter,someone goes to the animal shelter,有人去动物收容所
21266,PersonX pays bills,someone pays bills,有人付账单
21267,PersonX gets the chance,someone gets the chance,有人有机会
21268,PersonX also tried,someone also tried,有人还试过
21269,PersonX runs a race,someone runs a race,有人在比赛
21270,PersonX hires PersonY attorney,someone hires someone else attorney,有人雇了别的律师
21271,PersonX gives PersonY a hard time,someone gives someone else a hard time,有人让别人不好过
21272,PersonX buys the house,someone buys the house,有人买了房子
21273,PersonX does not want to cook,someone does not want to cook,有人不想做饭
21274,PersonX starts to yell at PersonY,someone starts to yell at someone else,有人开始对别人大喊大叫
21275,PersonX gives PersonY the information,someone gives someone else the information,有人告诉别人
21276,PersonX buys ___ that day,someone buys something that day,那天有人买东西
21277,PersonX punches PersonY's lights out,someone punches someone else's lights out,有人把别人的灯打坏了
21278,PersonX pleases PersonX's father,someone pleases his father,有人取悦他的父亲
21279,PersonX goes back to school,someone goes back to school,有人回学校了
21280,PersonX repeats the lord 's ___,someone repeats the lord 's something,有人重复了上帝的话
21281,PersonX loses PersonY's footing,someone loses someone else's footing,有人失去了别人的立足点
21282,PersonX sows ___ in PersonX's field,someone sows something in his field,有人在他的领域里播种
21283,PersonX particularly liked,someone particularly liked,有人特别喜欢
21284,PersonX achieves PersonY end,someone achieves someone else end,有人达到了别人的目的
21285,PersonX is driving PersonY nuts,someone is driving someone else nuts,有人把别人逼疯了
21286,PersonX endures ___ and free,someone endures something and free,有人忍受一些事情并且自由
21287,PersonX sends letters to parliament,someone sends letters to parliament,有人给议会写信
21288,PersonX slowly walked,someone slowly walked,有人慢慢地走着
21289,PersonX never found,someone never found,从来没有人发现
21290,PersonX passes through PersonY's mind,someone passes through someone else's mind,有人从别人的脑海中闪过
21291,PersonX gives everyone trinkets,someone gives everyone trinkets,有人给每个人饰品
21292,PersonX regulates commerce with nations,someone regulates commerce with nations,有人管理与国家的贸易
21293,PersonX sees ___ in the distance,someone sees something in the distance,有人看见远处有东西
21294,PersonX takes care of a PersonY,someone takes care of a someone else,有人照顾别人
21295,PersonX picks up PersonY's phone,someone picks up someone else's phone,有人拿起别人的电话
21296,PersonX goes for broke,someone goes for broke,有人孤注一掷
21297,PersonX breaks PersonY's kiss,someone breaks someone else's kiss,有人打破了别人的吻
21298,PersonX hides under PersonX's bed,someone hides under his bed,有人藏在他的床底下
21299,PersonX closes soon,someone closes soon,有人要关门了
21300,PersonX takes PersonY to a movie,someone takes someone else to a movie,有人带别人去看电影
21301,PersonX takes a shopping cart to the store,someone takes a shopping cart to the store,有人推着购物车去商店
21302,PersonX brings ___ back to the store,someone brings something back to the store,有人把东西带回店里
21303,PersonX blows PersonY's engine,someone blows someone else's engine,有人炸了别人的引擎
21304,PersonX enters PersonY's home,someone enters someone else's home,有人进入别人的家
21305,PersonX puts ___ on the market,someone puts something on the market,有人把东西放到市场上
21306,PersonX loves horror movies,someone loves horror movies,有人喜欢恐怖片
21307,PersonX takes book to school,someone takes book to school,有人把书带到学校
21308,PersonX puts two together,someone puts two together,有人把两个放在一起
21309,PersonX nuzzles PersonY's face,someone nuzzles someone else's face,有人用鼻子蹭别人的脸
21310,PersonX has to be taken to the hospital,someone has to be taken to the hospital,得有人送去医院
21311,PersonX finally turned,someone finally turned,有人终于转身
21312,PersonX pays PersonY fee,someone pays someone else fee,有人付了别人的钱
21313,PersonX manages PersonY's ___ in PersonX's way,someone manages someone else's something in his way,有人以他的方式管理别人的东西
21314,PersonX tries to ask PersonY out,someone tries to ask someone else out,有人想约别人出去
21315,PersonX visits the pet store,someone visits the pet store,有人去宠物店
21316,PersonX takes bus to school,someone takes bus to school,有人乘公共汽车上学
21317,PersonX leads with PersonX's chin,someone leads with his chin,有人用他的下巴
21318,PersonX sings PersonY's songs,someone sings someone else's songs,有人唱别人的歌
21319,PersonX takes a painting class,someone takes a painting class,有人上绘画课
21320,PersonX can not find PersonX's keys,someone can not find his keys,有人找不到他的钥匙
21321,PersonX returns to PersonX's homeland,someone returns to his homeland,有人回到他的祖国
21322,PersonX buys bread on the way home,someone buys bread on the way home,有人在回家的路上买面包
21323,PersonX needs someone to talk to,someone needs someone to talk to,有人需要倾诉
21324,PersonX lasts all day,someone lasts all day,有人能坚持一整天
21325,PersonX bullies in school,someone bullies in school,学校里的恶霸
21326,PersonX knows every ___,someone knows every something,有人什么都知道
21327,PersonX smells smoke,someone smells smoke,有人闻到烟味
21328,PersonX puts PersonX's hair,someone puts his hair,有人把他的头发
21329,PersonX holds PersonX's position,someone holds his position,有人占据了他的位置
21330,PersonX leaves behind PersonY,someone leaves behind someone else,有人离开了别人
21331,PersonX lies to PersonY,someone lies to someone else,有人对别人撒谎
21332,PersonX pulls out all the stops,someone pulls out all the stops,有人使出浑身解数
21333,PersonX fights overgrowth with fire,someone fights overgrowth with fire,有人用火对抗过度生长
21334,PersonX is great friends,someone is great friends,有人是好朋友
21335,PersonX gives PersonY's baby ___,someone gives someone else's baby something,有人给别人的孩子一些东西
21336,PersonX makes martinis for everyone,someone makes martinis for everyone,有人为每个人做马提尼酒
21337,PersonX shakes PersonX's ___ sadly,someone shakes his something sadly,有人伤心地摇晃着他的东西
21338,PersonX leaves PersonX's mom,someone leaves his mom,有人离开了他妈妈
21339,PersonX kicks against the pricks,someone kicks against the pricks,有人踢那些混蛋
21340,PersonX has a great time at the concert,someone has a great time at the concert,有人在音乐会上玩得很开心
21341,PersonX puts oneself in PersonY's shoes,someone puts oneself in someone else's shoes,有人设身处地为别人着想
21342,PersonX wants to see,someone wants to see,有人想看看
21343,PersonX knows every room,someone knows every room,有人知道每个房间
21344,PersonX appreciates the gesture,someone appreciates the gesture,有人欣赏这种姿态
21345,PersonX watches every ___,someone watches every something,有人看着每一样东西
21346,PersonX picks up PersonY's bag,someone picks up someone else's bag,有人捡别人的包
21347,PersonX stills enjoyed ___,someone stills enjoyed something,有人还在享受
21348,PersonX gives PersonY a lecture,someone gives someone else a lecture,有人给别人讲课
21349,PersonX puts the dishes,someone puts the dishes,有人把盘子
21350,PersonX drives the ___ away,someone drives something away,有人把东西赶走了
21351,PersonX decides to run away,someone decides to run away,有人决定逃跑
21352,PersonX uses chopsticks,someone uses chopsticks,有人用筷子
21353,PersonX leaves work,someone leaves work,有人下班了
21354,PersonX serves PersonX's interests,someone serves his interests,有人为他的利益服务
21355,PersonX cuts the cheese,someone cuts the cheese,有人切奶酪
21356,PersonX gives ___ at work,someone gives something at work,有人在工作中给予一些东西
21357,PersonX comes back to the house,someone comes back to the house,有人回来了
21358,PersonX puts everything,someone puts everything,有人把所有东西
21359,PersonX rubs PersonY's hands together,someone rubs someone else's hands together,有人摩擦别人的手
21360,PersonX learns how to sing,someone learns how to sing,有人学唱歌
21361,PersonX quickly found ___,someone quickly found something,有人很快发现了什么
21362,PersonX analyzes the movie in terms,someone analyzes the movie in terms,有人用术语分析这部电影
21363,PersonX asks ___ for PersonY's number,someone asks something for someone else's number,有人要别人的电话号码
21364,PersonX steals something,someone steals something,有人偷了东西
21365,PersonX loses PersonY way,someone loses someone else way,有人失去了别人
21366,PersonX burns the ___ at both ends,someone burns something at both ends,有人在两头烧东西
21367,PersonX finally hit,someone finally hit,终于有人下手了
21368,PersonX falls to PersonY's knees,someone falls to someone else's knees,有人跪倒在别人的膝上
21369,PersonX kisses PersonY goodbye,someone kisses someone else goodbye,有人亲吻别人说再见
21370,PersonX builds a fence,someone builds a fence,有人筑起篱笆
21371,PersonX has a great night,someone has a great night,有人今晚很开心
21372,PersonX can play with PersonY,someone can play with someone else,有人可以和别人一起玩
21373,PersonX calls PersonY's friends,someone calls someone else's friends,有人打电话给别人的朋友
21374,PersonX creates PersonY system,someone creates someone else system,有人创造了别人的系统
21375,PersonX turns PersonX's ___ around,someone turns his something around,有人把他的东西
21376,PersonX makes a hole,someone makes a hole,有人挖了个洞
21377,PersonX drives very fast,someone drives very fast,有人开得很快
21378,PersonX gives PersonY grief,someone gives someone else grief,有人给别人悲伤
21379,PersonX leaves PersonY's house,someone leaves someone else's house,有人离开了别人的家
21380,PersonX starts toward PersonY,someone starts toward someone else,有人开始向别人靠近
21381,PersonX resolves PersonX's differences,someone resolves his differences,有人解决了他的分歧
21382,PersonX understands the ___ well,someone understands something well,有人很了解某事
21383,PersonX ties ___ around PersonX's neck,someone ties something around his neck,有人在他脖子上绑了什么东西
21384,PersonX eats salads for lunch,someone eats salads for lunch,有人午餐吃沙拉
21385,PersonX hopes would come,someone hopes would come,有人希望
21386,PersonX gives the ___ a sense,someone gives something a sense,有人给人一种感觉
21387,PersonX makes one instead,someone makes one instead,有人做了一个
21388,PersonX throws a birthday party,someone throws a birthday party,有人办生日派对
21389,PersonX puts it in PersonY's pocket,someone puts it in someone else's pocket,有人把它放在别人的口袋里
21390,PersonX says another ___,someone says another something,有人说另一件事
21391,PersonX seizes PersonY by the arm,someone seizes someone else by the arm,有人抓住了别人的胳膊
21392,PersonX is coming to town,someone is coming to town,有人要进城了
21393,PersonX keeps PersonX's cool,someone keeps his cool,有人保持冷静
21394,PersonX increases students ' ___,someone increases students ' something,有人增加了学生的东西
21395,PersonX flaps PersonX's gums,someone flaps his gums,有人拍打他的牙床
21396,PersonX decides to save up,someone decides to save up,有人决定存钱
21397,PersonX raises PersonY's glass,someone raises someone else's glass,有人举起别人的杯子
21398,PersonX finishes PersonY's homework,someone finishes someone else's homework,某人完成了别人的作业
21399,PersonX closes ___ behind PersonY,someone closes something behind someone else,有人在别人身后关上了东西
21400,PersonX sets up computer systems,someone sets up computer systems,有人建立了电脑系统
21401,PersonX plays PersonX's ___ well,someone plays his something well,有人把他的东西演得很好
21402,PersonX calls PersonX's dentist,someone calls his dentist,有人打电话给他的牙医
21403,PersonX strikes PersonY,someone strikes someone else,有人打了别人
21404,PersonX buys the supplies,someone buys the supplies,有人买了补给
21405,PersonX saves a man 's ___,someone saves a man 's something,有人拯救了一个人
21406,PersonX throws the football,someone throws the football,有人扔了足球
21407,PersonX helps ___ a lot,someone helps something a lot,有人帮了很多忙
21408,PersonX speeds past PersonY,someone speeds past someone else,有人超过了别人
21409,PersonX reads every day,someone reads every day,每天都有人看书
21410,PersonX gets PersonX's hands dirty,someone gets his hands dirty,有人弄脏了他的手
21411,PersonX shoots PersonX's load,someone shoots his load,有人向他开枪
21412,PersonX tells PersonX's girlfriend,someone tells his girlfriend,有人告诉他女朋友
21413,PersonX controls every ___,someone controls every something,有人控制着一切
21414,PersonX schools every day,someone schools every day,每天都有人去学校
21415,PersonX visits the dentist,someone visits the dentist,有人去看牙医
21416,PersonX pays ___ to support,someone pays something to support,有人出钱支持
21417,PersonX breaks PersonX's nose,someone breaks his nose,有人打断了他的鼻子
21418,PersonX takes part in the movement,someone takes part in the movement,有人参加了这场运动
21419,PersonX takes clothing back to the store,someone takes clothing back to the store,有人把衣服带回商店
21420,PersonX adopts a child,someone adopts a child,有人收养了一个孩子
21421,PersonX is great fun,someone is great fun,有人很有趣
21422,PersonX visits PersonX's doctor,someone visits his doctor,有人去看医生
21423,PersonX sells PersonX's old car,someone sells his old car,有人把他的旧车卖了
21424,PersonX pulls PersonY,someone pulls someone else,有人拉了别人
21425,PersonX puts the fire out,someone puts the fire out,有人把火扑灭了
21426,PersonX cries all the way to the bank,someone cries all the way to the bank,有人一路哭到银行
21427,PersonX examines critically the ___,someone examines critically something,有人批判地审视某事
21428,PersonX works hard all ___,someone works hard all something,有人很努力
21429,PersonX comes along with PersonY,someone comes along with someone else,有人和别人一起
21430,PersonX dyes PersonY's hair,someone dyes someone else's hair,有人染了别人的头发
21431,PersonX turns state 's ___,someone turns state 's something,有人改变了状态
21432,PersonX sends envelope to parliament,someone sends envelope to parliament,有人给议会寄信封
21433,PersonX stops at nothing,someone stops at nothing,有人不择手段
21434,PersonX is dating a girl,someone is dating a girl,有人在和一个女孩约会
21435,PersonX confers ___ upon PersonY,someone confers something upon someone else,某人向某人许诺某事
21436,PersonX fills with joy,someone fills with joy,充满喜悦的人
21437,PersonX finds ___ to describe,someone finds something to describe,有人找到了可以描述的东西
21438,PersonX counts sheep,someone counts sheep,有人数羊
21439,PersonX is browsing the internet,someone is browsing the internet,有人在上网
21440,PersonX finds PersonY's keys,someone finds someone else's keys,有人找到了别人的钥匙
21441,PersonX improves dramatically,someone improves dramatically,有人进步很快
21442,PersonX imposes PersonX's ___ on others,someone imposes his something on others,有人把自己的东西强加于人
21443,PersonX wears ___ every day,someone wears something every day,有人每天都戴着东西
21444,PersonX selects another ___,someone selects another something,有人选择了另一样东西
21445,PersonX goes along with the gag,someone goes along with the gag,有人会随波逐流
21446,PersonX brings the dog to the attention,someone brings the dog to the attention,有人引起了狗的注意
21447,PersonX needs ___ to get,someone needs something to get,有人需要一些东西
21448,PersonX forgives PersonX's friend,someone forgives his friend,有人原谅了他的朋友
21449,PersonX happily married,someone happily married,婚姻幸福的人
21450,PersonX goes fishing with my dad,someone goes fishing with my dad,有人和我爸去钓鱼
21451,PersonX pushes the ___ aside,someone pushes something aside,有人把东西推到一边
21452,PersonX withdraws PersonY's hand,someone withdraws someone else's hand,有人收回了别人的手
21453,PersonX buys ___ for PersonY's children,someone buys something for someone else's children,有人给别人的孩子买东西
21454,PersonX asserts PersonX's right,someone asserts his right,有人主张他的权利
21455,PersonX gets a bloody nose,someone gets a bloody nose,有人流鼻血
21456,PersonX reaches PersonX's ___ in the century,someone reaches his something in the century,世纪上有人达到了他的东西
21457,PersonX goes a-begging,someone goes a-begging,有人在乞讨
21458,PersonX goes blind,someone goes blind,有人瞎了
21459,PersonX moves PersonY's head,someone moves someone else's head,有人动了别人的头
21460,PersonX works with PersonX's hands,someone works with his hands,有人用他的手工作
21461,PersonX spills all over PersonX,someone spills all over himself,有人全身都是水
21462,PersonX comes to PersonY's knowledge,someone comes to someone else's knowledge,有人知道了别人的知识
21463,PersonX gives PersonX's mother ___,someone gives his mother something,有人给了他妈妈一些东西
21464,PersonX keeps PersonY's head down,someone keeps someone else's head down,有人让别人低着头
21465,PersonX goes from zero to hero,someone goes from zero to hero,从零到英雄
21466,PersonX learns PersonY's ___ well,someone learns someone else's something well,有人把别人的东西学得很好
21467,PersonX gets straight 's,someone gets straight 's,有人直说
21468,PersonX sends PersonX's ___ into the world,someone sends his something into the world,有人把他的东西送到世上
21469,PersonX swims back and forth,someone swims back and forth,有人游来游去
21470,PersonX plays for an hour,someone plays for an hour,有人玩了一个小时
21471,PersonX is out one day,someone is out one day,有一天有人出去了
21472,PersonX waters tree everyday,someone waters tree everyday,每天有人给树浇水
21473,PersonX guides PersonY even more forcefully,someone guides someone else even more forcefully,有人更有力地引导别人
21474,PersonX cracks the eggs,someone cracks the eggs,有人把鸡蛋敲碎了
21475,PersonX goes to a home improvement store,someone goes to a home improvement store,有人去家装店
21476,PersonX surprises ___ with tickets,someone surprises something with tickets,有人用票给人惊喜
21477,PersonX gives PersonY a blanket,someone gives someone else a blanket,有人给了别人一条毯子
21478,PersonX produces PersonY output,someone produces someone else output,有人生产其他人的输出
21479,PersonX puts the rest,someone puts the rest,有人把剩下的
21480,PersonX brings food to the zoo,someone brings food to the zoo,有人把食物带到动物园
21481,PersonX is still good,someone is still good,有人还不错
21482,PersonX decides to get a cat,someone decides to get a cat,有人决定养一只猫
21483,PersonX files a complaint,someone files a complaint,有人投诉
21484,PersonX gets tangled,someone gets tangled,有人被缠住了
21485,PersonX teaches PersonY to sew,someone teaches someone else to sew,有人教别人缝纫
21486,PersonX brings PersonX's ___ to bear,someone brings his something to bear,有人给他带来了东西
21487,PersonX comes into PersonX's own,someone comes into his own,有人进入了他自己的世界
21488,PersonX finds a gun,someone finds a gun,有人找到一把枪
21489,PersonX finds the game,someone finds the game,有人找到了游戏
21490,PersonX prevents ___ in women,someone prevents something in women,有人阻止了女人
21491,PersonX attends PersonY's father 's ___,someone attends someone else's father 's something,某人照顾别人的父亲
21492,PersonX watches tutorials,someone watches tutorials,有人看教程
21493,PersonX is identical twins,someone is identical twins,有人是同卵双胞胎
21494,PersonX pulls PersonY over for speeding,someone pulls someone else over for speeding,有人因为超速把别人拦下来
21495,PersonX loses PersonY's temper,someone loses someone else's temper,某人发脾气
21496,PersonX induces ___ in cells,someone induces something in cells,有人在细胞中诱导某种东西
21497,PersonX wears sunscreen,someone wears sunscreen,有人涂了防晒霜
21498,PersonX trains harder,someone trains harder,有人训练得更刻苦
21499,PersonX feels PersonY's eyes on PersonY,someone feels someone else's eyes on someone else,有人感觉到别人在注视着别人
21500,PersonX takes ___ around,someone takes something around,有人拿着什么东西
21501,PersonX searches for hours,someone searches for hours,有人找了好几个小时
21502,PersonX meets PersonY's eye,someone meets someone else's eye,有人看到了别人的眼睛
21503,PersonX packs everything,someone packs everything,有人把所有东西都打包
21504,PersonX cries the blues,someone cries the blues,有人哭的忧郁
21505,PersonX decides to take a chance,someone decides to take a chance,有人决定冒险一试
21506,PersonX always asked ___,someone always asked something,总有人问
21507,PersonX learns the ___ by heart,someone learns something by heart,有人用心学东西
21508,PersonX becomes PersonY advocate,someone becomes someone else advocate,有人成为别人的拥护者
21509,PersonX takes PersonY's shopping,someone takes someone else's shopping,有人拿走别人的东西
21510,PersonX claws PersonY's way,someone claws someone else's way,有人用爪子抓别人
21511,PersonX has to run to the store,someone has to run to the store,总得有人去商店
21512,PersonX likes the ___ much,someone likes something much,某人很喜欢某事
21513,PersonX learns how to juggle,someone learns how to juggle,有人学会变戏法
21514,PersonX knows god 's ___,someone knows god 's something,有人知道上帝是什么
21515,PersonX keeps PersonY's ___ above water,someone keeps someone else's something above water,有人把别人的东西放在水面上
21516,PersonX closes PersonY's mouth,someone closes someone else's mouth,有人闭上了别人的嘴
21517,PersonX sees PersonY for years,someone sees someone else for years,有人多年见别人
21518,PersonX plays a new instrument,someone plays a new instrument,有人演奏一种新乐器
21519,PersonX plays a ___ in the production,someone plays something in the production,有人在演出中扮演某种角色
21520,PersonX fixes it for PersonY,someone fixes it for someone else,有人替别人修
21521,PersonX renews ___ by day,someone renews something by day,有人每天更新一些东西
21522,PersonX texts while driving,someone texts while driving,有人边开车边发短信
21523,PersonX feels afraid,someone feels afraid,有人感到害怕
21524,PersonX gives PersonY one,someone gives someone else one,有人给了别人一个
21525,PersonX decides to break up with PersonY,someone decides to break up with someone else,有人决定和别人分手
21526,PersonX kills PersonY's son,someone kills someone else's son,有人杀了别人的儿子
21527,PersonX says sure,someone says sure,有人说可以
21528,PersonX always used,someone always used,总有人用
21529,PersonX gathers PersonX's courage,someone gathers his courage,有人鼓起勇气
21530,PersonX takes the browns to the super bowl,someone takes the browns to the super bowl,有人带布朗队参加超级碗
21531,PersonX drops the box,someone drops the box,有人掉了盒子
21532,PersonX takes care of PersonY's children,someone takes care of someone else's children,有人照顾别人的孩子
21533,PersonX tells PersonY to go away,someone tells someone else to go away,有人叫别人走开
21534,PersonX evens made ___,someone evens made something,有人做了些东西
21535,PersonX maintains PersonY position,someone maintains someone else position,有人维护别人的位置
21536,PersonX takes PersonX's rest,someone takes his rest,有人让他休息
21537,PersonX is afraid it would hurt,someone is afraid it would hurt,有人怕会受伤
21538,PersonX returns the phone,someone returns the phone,有人还电话
21539,PersonX takes PersonY's clothes,someone takes someone else's clothes,有人拿了别人的衣服
21540,PersonX awaits PersonY's return,someone awaits someone else's return,有人等着别人回来
21541,PersonX takes ___ to get home,someone takes something to get home,有人带着东西回家
21542,PersonX beats the clock,someone beats the clock,有人打钟
21543,PersonX looks nice,someone looks nice,有人看起来不错
21544,PersonX begins to slide,someone begins to slide,有人开始下滑
21545,PersonX serves the ___ for years,someone serves something for years,某人服侍某物多年
21546,PersonX draws stumps,someone draws stumps,有人画树桩
21547,PersonX places ___ to end,someone places something to end,有人把某事放在终点
21548,PersonX always followed ___,someone always followed something,总有人跟踪
21549,PersonX lowers PersonY's head,someone lowers someone else's head,有人低下头
21550,PersonX meets PersonY's needs,someone meets someone else's needs,有人满足了别人的需要
21551,PersonX waits to go,someone waits to go,有人等着离开
